Rt,temp_tip,temp_ceramic,temp_flange,Relay
13:23:25,-32.35047,-18.82818,-2.4332433,10
13:23:37,-32.279,-18.813156,-2.4584076,10
13:23:48,-32.132725,-18.748053,-2.4785388,10
13:24:00,-32.032997,-18.697973,-2.4718285,10
13:24:12,-31.948215,-18.671265,-2.470151,10
13:24:24,-31.828527,-18.569433,-2.4953144,10
13:24:36,-31.732101,-18.552738,-2.508735,10
13:24:48,-31.637344,-18.52102,-2.5255108,10
13:25:00,-31.58248,-18.455906,-2.5188003,10
13:25:12,-31.494366,-18.434204,-2.5322206,10
13:25:23,-31.461111,-18.369095,-2.5372536,10
13:25:35,-31.401257,-18.37911,-2.5573845,10
13:25:47,-31.361353,-18.320679,-2.5657723,10
13:25:59,-31.321453,-18.28896,-2.5624168,10
13:26:11,-31.28654,-18.247217,-2.5758374,10
13:26:23,-31.238317,-18.212154,-2.5724823,10
13:26:35,-31.246632,-18.212154,-2.5791926,10
13:26:47,-31.234991,-18.210485,-2.5724823,10
13:26:58,-31.203396,-18.23052,-2.5825477,10
13:27:10,-31.195084,-18.15372,-2.560739,10
13:27:22,-31.208385,-18.193789,-2.5506744,10
13:27:34,-31.168478,-18.19045,-2.5624168,10
13:27:46,-31.20839,-18.15539,-2.5506737,10
13:27:58,-31.200073,-18.138693,-2.523833,10
13:28:10,-31.26492,-18.14704,-2.5221553,10
13:28:22,-31.254948,-18.197128,-2.5171227,10
13:28:33,-31.298178,-18.203808,-2.5439637,10
13:28:45,-31.306492,-18.195457,-2.5372536,10
13:28:57,-31.333094,-18.255566,-2.5288658,10
13:29:09,-31.358028,-18.263916,-2.5221553,10
13:29:21,-31.42121,-18.293966,-2.5305436,10
13:29:33,-31.461117,-18.34739,-2.547319,10
13:29:45,-31.527613,-18.377441,-2.5808702,10
13:29:57,-31.550892,-18.327356,-2.595968,10
13:30:08,-31.643991,-18.367422,-2.5842252,10
13:30:20,-31.685556,-18.462584,-2.5942903,10
13:30:32,-31.753717,-18.492638,-2.6043556,10
13:30:44,-31.800262,-18.536045,-2.6211307,10
13:30:56,-31.871746,-18.58112,-2.6160982,10
13:31:08,-31.921616,-18.621181,-2.651326,10
13:31:20,-32.018036,-18.679611,-2.6748104,10
13:31:32,-32.074547,-18.728022,-2.7066824,10
13:31:43,-32.136055,-18.7347,-2.7150695,10
13:31:55,-32.19423,-18.711329,-2.7150698,10
13:32:07,-32.28399,-18.841534,-2.7133923,10
13:32:19,-32.368755,-18.930004,-2.716747,10
13:32:31,-32.46349,-18.983418,-2.748619,10
13:32:43,-32.55823,-19.058529,-2.7905548,10
13:32:55,-32.60809,-19.096918,-2.7972646,10
13:33:06,-32.699493,-19.116951,-2.8123612,10
13:33:18,-32.759327,-19.136978,-2.8073292,10
13:33:30,-32.849064,-19.218767,-2.822426,10
13:33:42,-32.928833,-19.31557,-2.8425553,10
13:33:54,-33.001945,-19.400692,-2.8626838,10
13:34:06,-33.068413,-19.439075,-2.8727481,10
13:34:18,-33.163136,-19.474125,-2.8945546,10
13:34:30,-33.24123,-19.562576,-2.9130056,10
13:34:41,-33.316,-19.620987,-2.9331338,10
13:34:53,-33.402412,-19.641012,-2.9717128,10
